city,stars,business_count
Woodstown,2.5,2
Spring City,2.0,1
Phoenixville,5.0,13
Saint Ann,3.0,3
Sauget,1.5,1
Cahokia,3.0,1
West Conshohocken,3.5,2
Fairview Hts,3.5,1
Gibbsboro,4.0,2
Stowe,1.5,2
Oaklandon,4.5,1
Feasterville Trevose,2.0,3
Avon,2.5,27
Dunedin,3.5,58
Kuna,4.0,2
Chesterfield,1.5,2
Columbia,3.5,11
Indian Rocks Beach,2.5,2
Lawrence Township,4.5,3
Treasure Is,3.0,1
Hockessin,3.0,9
Titusville,4.5,1
West Norriton,4.5,1
Wynnewood,2.0,5
Bensalem,4.0,45
O'fallon,2.5,2
Voorhees,5.0,4
Feasterville Trevose,1.5,3
Riverside,4.5,3
King Of Prussia,2.5,20
Valley Park,5.0,7
Tarpon Springs,2.0,12
Winslow Township,4.0,2
Boise,1.0,12
Mount Holly,1.5,2
McCarran,4.5,1
Mt Laurel Township,4.0,1
Bradenton,5.0,1
Madison,2.5,28
Fairland,4.5,1
Talleyville,3.5,2
Folsom,3.0,8
Green Lane,4.5,2
Cheltenham Township,4.0,2
Royersford,2.5,13
Somerdale,2.5,5
Southwest Philadelphia,3.0,1
Abington,4.0,16
Fairview,3.0,1
Ardmore,1.5,3
Skippack Village,3.0,2
Crestwood,3.0,1
Radnor,2.0,1
Folcroft,3.5,5
Norristown,3.5,48
Pennsburg,4.5,1
Lansdowne,4.5,15
Churchville,3.0,2
O'Fallon,2.5,9
Lederach,5.0,1
Marana,4.5,11
Town & Country,3.5,1
Bensalem,3.5,54
Woodbury Heights,4.5,1
Saint Charles,2.0,19
Chesterfield,5.0,7
Wyncote,3.5,8
Wood River,4.0,5
Newtown Square,4.5,25
Wood River,3.5,6
Whitestown,3.5,8
Mt. Laurel,3.0,5
Pilesgrove,4.0,3
St Charles,4.0,17
Hamilton,4.0,8
Speedway,4.0,5
Richmond Heights,3.0,11
Voorhees Township,2.5,4
Palmetto,4.0,2
Haddonfield,2.0,4
Treasure Island,5.0,7
Madeira Beach,1.5,2
Flanders,3.0,1
Hudson,1.5,2
Lindenwold,4.0,6
Mt. Juliet,3.5,7
Mullica Hill,4.0,9
Hatboro,3.0,11
Plant City,3.5,30
"Mt Laurel Twp, NJ",3.5,1
Gloucester Township,4.5,3
Bryn Athyn,5.0,1
Saint Rose,2.0,1
New Orleans,4.5,1157
Mount Laurel Township,3.5,1
Morrisville,4.5,15
Gulfport,3.0,7
Ladue,4.5,1
Fort Washington,4.0,12
goodlettsville,3.0,1
Westchase,5.0,1
Elmwood,4.5,3
Lafayette Hill,2.5,2
Manayunk,4.0,1
Pennsauken,5.0,6
Worcester,3.5,2
Oro Valley,4.5,36
Lutz,2.5,38
Newtown,2.5,14
Hainesport,2.5,3
Meridan,3.0,1
Manchester,5.0,1
Spanish Springs,2.5,1
Mount Lemmon,3.0,2
Frazer,4.5,3
Elfers,2.0,1
Pasco,4.5,1
Webster Groves,3.0,10
Holland,3.0,2
Paoli,5.0,8
Voorhees Township,2.0,2
Zephyrhills,4.0,8
Souderton,2.0,1
Columbia,3.0,1
Buckingham Township,4.0,1
Merchantville,3.5,7
Sahuarita,2.0,4
Conshohocken,4.0,45
Jefferson,4.0,13
Belle Chase,3.0,1
Seminole,3.5,39
